q1_mongo_s1 2.09994e+06
q3v2_mongo_s1 1.01555e+06
q3v3_mongo_s1 1.02185e+06
q3v1_mongo_s1 905235
q4v2_mongo_s1 2.12891e+06
q4v1_mongo_s1 2032905
q4v3_mongo_s1 2.14476e+06
q12v1_mongo_s1 2.24661e+06
q12v2_mongo_s1 3646703
q13_mongo_s1 2.49211e+06
q22_mongo_s1 1.49242e+06
q1_mongo_s2 1.00549e+06
q3v1_mongo_s2 790069
q3v2_mongo_s2 4.75258e+06
q4_mongo_s2 1.57664e+06
q12_mongo_s2 1.68093e+07
q13_mongo_s2 9.083e+06
q22_mongo_s2 8.04953e+06
q1_psql 353490
q3_psql 785106
q4_psql 813000
q12_psql 802184
q13_psql 1.255e+06
q22_psql 157184
q1_mongo_s3 2.3295e+06
q3v1_mongo_s3 1.25911e+06
q4_mongo_s3 878742
q12_mongo_s3 2.51183e+06
q1_psql_json 2.09405e+06
q3_psql_json 1.45582e+06
q4_psql_json 1.55669e+06
q12_psql_json 2.2582e+06
q13_psql_json 7.10818e+06
q22_psql_json 1.77302e+06
