q1_mongo_s2 231395
q3v1_mongo_s2 180870
q3v2_mongo_s2 1079671
q4_mongo_s2 364154
q12_mongo_s2 4.04752e+06
q13_mongo_s2 1.52649e+06
q22_mongo_s2 1.36089e+06
q1_mongo_s1 613698
q3v2_mongo_s1 292614
q3v3_mongo_s1 294150
q3v1_mongo_s1 257087
q4v2_mongo_s1 623038
q4v1_mongo_s1 590708
q4v3_mongo_s1 624941
q12v1_mongo_s1 653117
q12v2_mongo_s1 1.01797e+06
q13_mongo_s1 708220
q22_mongo_s1 245493
q1_mongo_s3 568467
q3v1_mongo_s3 265609
q3v2_mongo_s3 6.46008e+06
q4_mongo_s3 211410
q12_mongo_s3 617404
q13_mongo_s3 8.38117e+06
q22_mongo_s3 8.25728e+06
q1_psql_json 425564
q3_psql_json 283397
q4_psql_json 303574
q12_psql_json 475754
q13_psql_json 1.59156e+06
q22_psql_json 292480
q1_psql 91049.8
q3_psql 184095
q4_psql 259401
q12_psql 219121
q13_psql 92660.6
q22_psql 32027.5
