q1_mongo_s1 233483
q1_mongo_s3 217663
q1_psql_json 171912
q1_mongo_s2 91108.4
q1_psql 34028
q3v3_mongo_s2 5.31E+06
q3v2_mongo_s3 2.49E+06
q3v2_mongo_s2 415165
q3_psql_json 114174
q3v3_mongo_s1 105105
q3v2_mongo_s1 105021
q3v1_mongo_s1 91164.2
q3v1_mongo_s3 91141.4
q3_psql 67382.2
q3v1_mongo_s2 66760.8
q4v3_mongo_s1 238725
q4v2_mongo_s1 236964
q4v1_mongo_s1 225499
q4_mongo_s2 146153
q4_psql_json 122372
q4_psql 97259
q4_mongo_s3 75748.8
q12_mongo_s2 1.61E+06
q12v2_mongo_s1 389631
q12v1_mongo_s1 249000
q12_mongo_s3 235523
q12_psql_json 192961
q12_psql 80828.2
q13_mongo_s3 2959024
q13_mongo_s2 592408
q13_psql_json 481397
q13_mongo_s1 270227
q13_psql 28924.7
q22_mongo_s3 2937973
q22_mongo_s2 527880
q22_psql_json 114043
q22_mongo_s1 75068.4
q22_psql 11738.5
